index,Salary_prediction,Actual_salary
290,71296.52097,88976
9,71189.88926,50178
57,88003.68526,83552
60,76191.03736,65729
25,88631.53645,96837.75
63,64992.69195,56294
92,57843.36742,58530
184,66969.67855,63291
244,96100.35115,96837.75
46,53345.04028,64786
75,69489.09631,70621
163,58193.46769,63676
297,54928.05199,50274
308,91235.18114,96837.75
286,65161.20116,74813
291,68974.55234,55875
5,56183.68496,57568
155,65952.55144,71339
164,88133.68424,93046
168,56250.68277,52624
73,56903.71552,61584
104,67026.82876,59370
137,68414.57122,83082
206,65587.00512,71966
76,94883.56524,96837.75
173,56682.08013,52057
113,66313.00104,61242
33,63535.38672,63763
295,59450.8618,66541
251,56636.04045,50923
108,95416.25277,96837.75
3,59590.61872,64991
82,58088.4445,54285
260,58682.99642,58939
93,62821.15164,72609
101,50433.6783,53171
45,74092.57572,66808
17,62442.39966,59026
197,92264.48379,87921
119,54858.22337,63813
42,85429.24643,96837.75
24,66195.10926,57815
179,56731.10592,61349
242,55008.62719,53180
299,84348.8687,96837.75
196,58330.43394,57575
226,57019.56961,46430
7,54813.83577,59365
288,70100.97587,57859
77,66696.35763,74241
114,66788.49195,66825
239,78482.02333,96837.75
145,68217.1911,63322
84,56974.2359,60340
181,57708.22244,54132
230,63927.67134,61809
303,54379.10762,59728
198,55028.05859,50470
195,64595.33286,74417
210,71195.94248,68829
224,61969.65067,46799
158,68340.06507,66074
126,54226.4191,46998
109,66948.67693,74679
247,56342.33228,46428
234,65130.6416,55578
202,65111.11155,63695
78,70199.33356,75188
147,72145.27697,68999
59,90007.10973,92329
118,69445.24398,62957
6,93244.42614,95660
182,65620.76136,55315
30,59032.42768,65288
22,59336.61703,62910
267,64758.77394,58273
56,55428.0946,63381
148,56325.61927,50482
140,53042.9161,45069
208,52819.72027,47414
279,53868.47385,48413
203,58518.1108,62061
144,93585.77674,96837.75
167,72795.67241,77915
90,55683.54906,64057
223,63548.93001,61844
66,87364.84917,96837.75
116,60344.80382,66149
172,63217.52989,73330
250,51270.30011,56147
19,59192.12637,53250
146,54321.89019,61154
79,57916.73621,62514
300,54183.8571,58371
